GenBank AC	UniProtKB AC
AL096740	Q7Z3V4
AK001172	B3KM50
AB028973	Q01538
AL049669	Q8N6R0
AK023204	Q5JTV8
AK021613	Q5JTV8
D50918	Q14141
M82882	P32519
AB023147	Q6ICG6
AB002366	Q5VYK3
AL109955	A6NG75
AL109955	B0QZ36
AL109955	B0QZ37
AL109955	E9PPG9
AL109955	E9PQ57
AL109955	E9PSF1
AL109955	F6VZ39
AL109955	P0CJ70
AL109955	P78406
AL109955	Q9H0Z9
D83778	Q12766
AL542571	Q9HAV7
AL109804	A2A2L3
AL109804	A2A2L4
AL109804	B4DIG0
AL109804	G8JLH2
AL109804	H7BYU9
AL109804	H7C0M6
AL109804	P07199
AL109804	P30305
AL109804	Q08AM2
AL109804	Q08AM3
AL109804	Q5JX74
AL109804	Q5JX83
AL109804	Q7Z434
AL109804	Q96MM6
AL109804	Q9BZ11
AL109804	Q9BZZ2
AL109804	Q9GZN8
AL109804	Q9NUS5
AL109804	Q9Y4P9
X76302	Q8WVK2
D86985	Q92628
AB011112	Q6ZNJ1
AF161402	Q9P097
AB007899	Q96PU5
D87445	Q93073
AF113514	Q8WYB5
AB033105	Q96EK5
AB014564	O75153
AL161985	P19532
X02761	P02751
AB014578	O75165
AK023512	Q7Z5Q8
AB019494	Q6KC79
AB011088	O60271
D87682	Q8NBF6
D26069	Q15057
AK022815	Q9H871
AB002374	Q69YQ0
AB028998	Q63HR2
AL110250	Q9Y6X3
D87446	Q92545
AK024029	Q96BY2
AB029020	Q8TEY7
AB018325	Q96P48
AL132773	O75882
AB011161	O60331
D63480	Q14159
AK002207	B3KML8
X62048	P30291
AB023173	Q9Y2G3
U83115	Q9Y4K1
AB011148	Q9Y4E5
AC004528	A0A087WV51
AC004528	A0A087X1X5
AC004528	A0A087X237
AC004528	A0A087X271
AC004528	A0A0A0MQU0
AC004528	A0A0A0MTU3
AC004528	B4DDF4
AC004528	B4DUT8
AC004528	H3BQH0
AC004528	H3BVI6
AC004528	K7EIR0
AC004528	K7EKX5
AC004528	K7EML4
AC004528	K7ES69
AC004528	O60391
AC004528	Q4ZIN3
AC004528	Q99439
AC004528	Q9BV38
AC004528	U3KPS3
AC004528	U3KPU1
AC004528	U3KPY4
AC004528	U3KQC1
AC004528	U3KQK3
AC004528	U3KQQ5
AB011116	O60291
AB014550	A6NHR9
AB011132	O60306
Y00062	P08575
AJ010070	Q9UGU5
AL079310	Q9UGU5
AB007859	O43149
D31888	Q9UKL0
AB002293	O15014
AB006624	O14524
AF055006	O60645
AL132776	O94874
AL132776	Q5TD97
AL132776	X6RED3
AL023584	P31629
D42043	Q14699
AL079292	Q7Z478
AB018283	O94844
AB020710	Q8NDI1
AB011151	Q8WYQ9
AF110399	P43897
U65590	P18510
AB014574	Q5T1M5
AB046845	Q9HCE7
U82828	Q13315
U82828	Q7KYL7
D42084	P53582
AK002076	Q7L2E3
AB011154	Q76N32
AB032983	Q9ULR3
BC003393	Q9BTS4
AB018268	O94830
AB014558	Q49AN0
AJ002220	Q9Y4G2
AB002318	Q9Y4G6
AB011110	O43374
D83781	Q12769
AB020626	Q7RTP6
AB002354	Q9Y4G2
AB011178	O60346
AK021780	Q6NYC1
AB014562	O75151
AB033058	Q92796
AB037859	Q969V6
AB020630	Q96T49
AB002347	Q8IWV8
AB029001	Q08AD1
BC004409	Q9BT17
AL390736	Q6UX06
AL162060	Q9UPU0
AJ223321	Q99592
L13857	Q07889
AB029032	Q2LD37
AK026954	Q7Z6E9
AB002304	Q96RK0
AB020684	Q2PZI1
AK001389	B3KM88
AK023841	B3KN67
AB002365	Q8WUY3
AB020635	Q96HN2
AK023253	O75953
AB020663	Q8TDJ6
U69127	Q96I24
X17115	P01871
M74089	Q96AG3
D26018	Q15054
D63877	Q15018
AB023227	Q6XZF7
AK024044	B3KN94
AB028976	Q9UPU9
AB051480	Q3BBV0
D87466	Q92564
AB018310	Q6IC98
Y16521	O95674
AK023092	Q9H944
AP001745	P57071
AP001745	Q9ULJ3
AP001745	Q9Y426
AB011113	Q9Y4E6
AK022481	B3KMR4
AB018338	O94889
AL080169	Q9Y4P0
AL080063	Q8IYH5
D29641	P42285
AB007866	O43156
AB028951	Q9BWU1
AJ131244	O95486
AB033011	Q8N1G4
AK022530	B3KMS3
AB023179	Q9Y2G8
AB011166	Q8IY18
AL050331	H0YDA5
AL050331	Q5QPD0
AL050331	Q5TFE4
AL050331	Q9H0U9
AL050331	Q9UJ04
AL050331	X6REM1
AB006630	Q9UGU0
AB002360	O15068
M20776	P12109
AB033025	Q8WUJ3
AB011100	Q86YS7
AB020716	O94983
D38553	Q15003
Z93241	A0A0A0MSL7
Z93241	A6ND93
Z93241	B1AHF3
Z93241	B4DGG4
Z93241	F2Z3M3
Z93241	F6VRR5
Z93241	F8WCX5
Z93241	F8WEE2
Z93241	P00387
Z93241	Q6R954
Z93241	Q8WUT1
Z93241	Q9BY77
Z93241	Q9H4I8
AL109804	A2A2L3
AL109804	A2A2L4
AL109804	B4DIG0
AL109804	G8JLH2
AL109804	H7BYU9
AL109804	H7C0M6
AL109804	P07199
AL109804	P30305
AL109804	Q08AM2
AL109804	Q08AM3
AL109804	Q5JX74
AL109804	Q5JX83
AL109804	Q7Z434
AL109804	Q96MM6
AL109804	Q9BZ11
AL109804	Q9BZZ2
AL109804	Q9GZN8
AL109804	Q9NUS5
AL109804	Q9Y4P9
AL049795	A2VCK2
AL049795	E9PM03
AL049795	E9PM81
AL049795	E9PNU5
AL049795	O60684
AL049795	P40222
AL049795	Q4KMZ1
AL049795	Q5TFJ7
AL049795	Q5TFK1
AL049795	Q8WY98
AL049795	Q9BUN5
AL049795	S4R3E5
AB014574	Q5T1M5
AB018325	Q96P48
D83778	Q12766
AB029012	Q9UPR3
AB002360	O15068
AB007857	O43147
AB020630	Q96T49
AF263541	Q9NR20
AK001821	Q9NV34
AK023573	Q6ZW31
AB020677	A2RUS2
AL031178	C9IY65
AL031178	C9J4V1
AL031178	C9JDZ9
AL031178	H7C4H6
AL031178	Q9UK97
AL031178	Q9UPZ9
AL031178	V9GZ74
AB020717	O43426
AL137520	Q9UK97
AP000693	H0YHQ4
AP000693	H0YIR5
AP000693	Q14149
D79994	Q14678
AK022701	B3KMU3
D42055	P46934
AF161382	Q6P4I2
AB023216	Q9Y2K2
Y15724	Q93084
AJ132258	O95793
AL031602	Q6ZMZ0
AB011093	Q6ZSZ5
AL008583	B0QXZ5
AL008583	B0QXZ6
AL008583	B0QY60
AL008583	B0QY63
AL008583	B0QY64
AL008583	B0QY65
AL008583	B0QY66
AL008583	B0QY67
AL008583	B0QY68
AL008583	B0QY69
AL008583	H0Y686
AL008583	O95502
AL008583	O95503
AL008583	O96015
AL008583	Q9UH99
AB011133	O60307
AL033538	A0A087WW06
AL033538	B0QYP4
AL033538	B0QYP5
AL033538	Q96AY4
U58515	Q15782
AB011118	O60293
AB002373	Q8N2Y8
AL049798	Q07507
AB002319	Q68DK2
D38169	Q96DU7
AJ005866	Q76EJ3
AB020676	Q8IX03
AB014516	Q6UUV9
AL033377	F5H054
AL033377	F5H2L1
AL033377	H0YFM8
AL033377	H0YGP2
AL033377	Q86SQ4
AF299327	P55008
AB018302	Q9UNK9
AB023198	Q9Y2I7
AL031177	A0A087WZY5
AL031177	A0A0A0MT61
AL031177	A8MXH5
AL031177	B1AJY5
AL031177	B1AJY6
AL031177	B1AJY7
AL031177	C9JY48
AL031177	F5H3Q5
AL031177	F5H851
AL031177	F8W7J2
AL031177	G5E979
AL031177	H7BYM2
AL031177	O75832
AL031177	Q14031
AL031177	Q86XK7
AL031177	Q8WYN0
AL136821	A0JNW5
AB032967	Q8WTR7
AL022237	Q13323
AL022237	Q8IVS2
AL022237	V9GYY6
M62324	Q03989
AB014593	O75177
AJ272212	P11801
AB028999	Q9UPS6
AB011095	Q658N2
AB018348	Q96RV3
D86964	Q92608
AL121753	A0A0B4J1Y7
AL121753	A0A0U1RQQ4
AL121753	A0A0U1RQV5
AL121753	A0A0U1RRC4
AL121753	A0A0U1RRL7
AL121753	B1AKV2
AL121753	B1AKV3
AL121753	B1AKV4
AL121753	B1AKV6
AL121753	B7ZBH1
AL121753	D6RDV2
AL121753	F6UTR7
AL121753	F8WAM1
AL121753	F8WCR2
AL121753	F8WD20
AL121753	F8WDS6
AL121753	H7BZM2
AL121753	H7C3C3
AL121753	H7C611
AL121753	P56537
AL121753	Q9BQN1
AL121753	Q9NVA1
AL121753	Q9Y5R2
AL049650	A0A087WZQ2
AL049650	A0A0A0MSR0
AL049650	A0A0A0MT63
AL049650	A8MT02
AL049650	F5H5K5
AL049650	O95932
AL049650	P14678
AL049650	Q6P1L6
AL049650	S4R3P3
AB028989	Q9UPT6
AF070530	Q8IUC6
AL031447	B1AK20
AL031447	K7EIZ2
AL031447	K7ELI0
AL031447	K7EMF2
AL031447	K7ESH2
AL031447	Q2NKK7
AL031447	Q5TH61
AL031447	Q86YI8
AL031447	Q8WTV1
AL031447	Q9NVH1
AL031447	R4GNH0
AB006627	O14525
AL080220	Q4AC94
U93305	O43900
U93305	O60840
U93305	P08247
U93305	Q04941
AJ011712	P13805
AB014608	Q8IWT3
AL035669	A0A087X028
AL035669	A0A0A0MRN5
AL035669	F8W9A4
AL035669	P30989
AL035669	Q14050
AL035669	Q4VXW1
AL035669	Q4VXW3
AL035669	Q9BTC0
AL035669	Q9H4G8
AL035669	Q9NV56
AL035669	Q9NZT2
AL035669	Q9UL49
AB028983	Q08462
AB018324	Q9H0K1
AL049593	Q9NQ66
AJ271832	O75688
AK023913	B3KN77
L19267	Q09019
AB040900	A2RU67
X07695	P19013
AB006622	Q9Y4F5
AJ290445	Q6SZW1
AL162056	Q5JWR5
Z98884	A0A087WV69
Z98884	K7EKX0
Z98884	O95399
Z98884	P56645
Z98884	Q15836
Z98884	Q5H8X8
Z98884	Q8TAR6
Z98884	Q9Y6Y1
AB029040	Q5JWR5
X14487	P13645
X12492	P08651
AF097916	O95365
L42375	Q13362
AL117515	Q9UPR0
AK024281	Q9H7V3
AL031290	B1AJS1
AL031290	O14525
AL031290	Q9BXP8
AK001922	Q9Y274
AB007964	Q9UF72
AB018322	O94876
AB018345	Q9Y4B5
AF091086	Q96H96
AL137798	P0DMU4
AL137798	Q86T23
AL137798	S4R2X0
AL137798	S4R2Z6
AL137798	S4R3K2
Z37544	Q01970
AK026415	P52757
AB033066	Q9ULI0
AB028987	Q9UPT8
AL022327	A6PVC2
AL022327	A6PVC3
AL022327	Q15049
AL022327	Q6ZVW7
AB023148	Q6ZVD8
AL050102	Q3B7T1
U62325	Q92870
AB020702	Q8NCT3
AB011114	A8K8P3
AB028957	Q9UPW6
U73304	P21554
AB011115	O60290
D63484	Q8IXZ2
D31765	Q99575
AB023191	Q96BN6
AB014573	O75161
AC002310	B4DQ77
AC002310	B4E021
AC002310	B7Z5R0
AC002310	H3BNL5
AC002310	H3BQ85
AC002310	H3BR26
AC002310	H3BR45
AC002310	H3BR67
AC002310	H3BS37
AC002310	H3BS42
AC002310	H3BSV1
AC002310	H3BTK8
AC002310	H3BUT3
AC002310	I3L119
AC002310	I3L1D1
AC002310	I3L468
AC002310	P0C7X2
AC002310	P20701
AC002310	Q96H86
AC002310	Q9BV97
AB028949	Q674X7
U26662	P47972
AK000002	Q5T3U5
X06268	P02458
AF126008	Q12802
AL035369	O95568
M98528	P42857
D50925	Q96RG2
AL031228	B0UZZ8
AL031228	J3JS69
AL031228	J3JS70
AL031228	J3JS71
AL031228	J3JS72
AL031228	O15213
AL031228	O96024
AL031228	P13942
AL031228	P28702
AL031228	P62269
AL031228	Q06587
AL031228	Q4VXY6
AL031228	Q4VXZ2
AL031228	Q8N1B4
AL031228	Q92504
AL031228	Q92506
AB014567	O75155
AB011131	Q9Y6V0
X89271	P35414
AL050391	P49662
AB011537	O75093
AB023144	Q9BYH1
AB011152	Q8WZ64
AB002361	O15069
M94065	Q02127
AL031588	H0Y7R9
AL031588	O75648
AL031588	Q2PPL5
AL031588	Q9NYQ6
AL031588	Q9NYZ3
AB028968	Q9UPV7
AB011129	O60304
AK022846	B3KMW4
AF305057	Q7L5Y1
D42046	P51530
AB002307	Q6ZRS2
AB006628	O14526
AL049329	Q9Y3U5
L48516	Q15166
L07335	P48431
U43586	Q8IVT5
AL031186	A0A0D9SFL3
AL031186	B0QYJ1
AL031186	B0QYJ2
AL031186	B0QYJ3
AL031186	B0QYJ4
AL031186	B0QYJ5
AL031186	B0QYJ6
AL031186	B0QYJ7
AL031186	B0QYK0
AL031186	B0QYK2
AL031186	B0QYK3
AL031186	B0QYK4
AL031186	B0QYK5
AL031186	C9JGE3
AL031186	F8WC90
AL031186	F8WDX7
AL031186	F8WFA9
AL031186	H0Y6W4
AL031186	H7BY36
AL031186	Q01844
AL031186	Q96A84
AL031186	Q9Y3P4
AC005757	F5H3P7
AC005757	J3KNK3
AC005757	K7EK17
AC005757	K7EKG8
AC005757	K7ELZ0
AC005757	K7EN58
AC005757	K7EN95
AC005757	O75864
AC005757	O75865
AC005757	Q17RQ9
AC005757	Q6IPE9
AC005757	Q96GZ3
AL121905	O43555
AL121905	P18433
AL121905	Q5JWG0
AL121905	Q5JWG2
AL121905	Q5JWG3
AL121905	Q9BYN8
X04697	P08603
AL137579	O14559
AK000485	Q9NZ71
X00452	P01909
AB029033	Q9UPP2
Z98752	A0A087WWC5
Z98752	A0A0A0MRR4
Z98752	A0A0C4DG70
Z98752	A0A0G2JNI2
Z98752	B0QYN4
Z98752	B0QYN5
Z98752	F2Z3C8
Z98752	H0Y7I2
Z98752	Q5H8Y5
Z98752	Q9HBY8
Z98752	Q9Y366
Z98752	Q9Y468
Z98752	X6R8H3
AK021688	Q63ZY6
AL355532	Q9BZ15
D29810	Q14089
AL022398	A0A087WU76
AL022398	A0A0A0MQV1
AL022398	B1AJU2
AL022398	B1AJU4
AL022398	C9J0C0
AL022398	C9JBA0
AL022398	C9JXB3
AL022398	E2QRE5
AL022398	H0YF09
AL022398	H7C2R4
AL022398	O14896
AL022398	P28845
AL022398	Q68CQ4
AL022398	Q96LT6
AL022398	Q9Y228
AB006631	O14529
X99268	Q15672
AB020695	Q9Y6X4
AL035406	D6RA06
AL035406	F2Z2R5
AL035406	F6T542
AL035406	H0YA08
AL035406	K7EIR5
AL035406	K7EKU4
AL035406	K7EMC0
AL035406	K7EMY3
AL035406	K7ESA5
AL035406	O75161
AL035406	Q13303
AL035406	Q5TG78
AL035406	Q5TG80
AL035406	Q5TG81
AL035406	Q5TG84
AL035406	Q8TDI0
AB033059	P82987
AB011146	O60320
AL031228	B0UZZ8
AL031228	J3JS69
AL031228	J3JS70
AL031228	J3JS71
AL031228	J3JS72
AL031228	O15213
AL031228	O96024
AL031228	P13942
AL031228	P28702
AL031228	P62269
AL031228	Q06587
AL031228	Q4VXY6
AL031228	Q4VXZ2
AL031228	Q8N1B4
AL031228	Q92504
AL031228	Q92506
AL031602	Q6ZMZ0
U93305	O43900
U93305	O60840
U93305	P08247
U93305	Q04941
L19267	Q09019
AL031228	B0UZZ8
AL031228	J3JS69
AL031228	J3JS70
AL031228	J3JS71
AL031228	J3JS72
AL031228	O15213
AL031228	O96024
AL031228	P13942
AL031228	P28702
AL031228	P62269
AL031228	Q06587
AL031228	Q4VXY6
AL031228	Q4VXZ2
AL031228	Q8N1B4
AL031228	Q92504
AL031228	Q92506
AB011114	A8K8P3
AL080220	Q4AC94
AB018302	Q9UNK9
AB028968	Q9UPV7
AB002319	Q68DK2
AB002307	Q6ZRS2
U62325	Q92870
AB029040	Q5JWR5
AL031588	H0Y7R9
AL031588	O75648
AL031588	Q2PPL5
AL031588	Q9NYQ6
AL031588	Q9NYZ3
Z23022	P24385
AB011097	Q9NZ08
M19720	P12524
AL031709	A0A087WWA2
AL031709	A0A0A0MRZ1
AL031709	A0A0A0MSC7
AL031709	A0A0A0MSF0
AL031709	D6RA68
AL031709	E2QRG9
AL031709	E9PDK2
AL031709	E9PQQ5
AL031709	H0YEA7
AL031709	H3BPP9
AL031709	H3BQD4
AL031709	H3BV46
AL031709	O94812
AL031709	Q9H9P5
AL031709	Q9UJJ9
AL031709	Q9UJK0
AK001980	Q9UGN5
AB029030	Q9UPP5
AK023737	Q9H8F6
AK023141	Q9H918
AB014559	Q9Y4D2
AL050090	Q8NFW9
X91817	P51854
AK022131	O76003
AL049764	B0QYW5
AL049764	B1AHN4
AL049764	F2Z2I9
AL049764	F6RTR7
AL049764	F8WA85
AL049764	F8WBA4
AL049764	F8WCH6
AL049764	F8WCN9
AL049764	F8WE74
AL049764	F8WEC6
AL049764	F8WF87
AL049764	O43808
AB023161	Q8WXX0
AJ277151	P43489
AL122077	Q9UFH2
AL450314	Q9H4I8
AB011138	O60312
AK025922	Q6UXD7
X79536	P09651
X63749	P11488
U69268	O15384
AL050381	Q659G2
AL035295	O95561
X04201	P06753
AL021331	A0A087X213
AL021331	D1MPS5
AL021331	D6R9R4
AL021331	D6RC62
AL021331	D6RFH7
AL021331	D6RHT9
AL021331	H0YA40
AL021331	Q12799
AL021331	Q86WB7
AL021331	Q9BWV7
AL021937	A0A0A0MRY3
AL021937	A0A0A0MSA5
AL021937	A2A280
AL021937	A2A282
AL021937	F8WBR0
AL021937	F8WDR9
AL021937	J3QQV8
AL021937	O75679
AL021937	P0C7P2
AL021937	Q5TI88
AL021937	Q8NFQ6
AL021937	Q9Y3I0
AL021937	Q9Y3I1
K02403	P0C0L4
U47635	Q92792
AB007877	O43301
AF176518	Q9UKC9
M60721	Q14774
AF043899	O00499
AF077953	O75928
M23699	P0DJI9
AF230877	Q8TDR0
M12679	Q14838
D00943	P13533
AF127764	P20807
L16464	P41162
AF124489	P53367
AF226604	Q99720
AF041459	O15519
AF249273	Q9NYF8
AF044286	O75367
AF220153	Q13642
U44836	Q03060
L03419	Q92637
M34356	P16220
AB039667	Q9UHC1
AB041836	O60828
AF156225	P11171
AF065484	Q13596
AF268615	Q06416
AF073921	P49758
AF142418	Q96PU8
AF142421	Q96PU8
AF064092	O60726
AF145029	Q9Y5L0
AF098638	Q15276
AF152524	Q9UN70
AL390171	Q8N1B4
BC000256	P30874
D17391	P53420
U82671	C9J4L3
U82671	C9JDR0
U82671	H0Y704
U82671	H7BZT5
U82671	H7C1R1
U82671	O15231
U82671	P41208
U82671	P43356
U82671	P43357
U82671	P43365
U82671	Q15738
AJ000098	Q99502
U16125	P39086
U10691	P43360
AF015452	O15519
X72304	P34998
S70004	P54840
M17252	P08686
AF218033	Q9HBM9
X14346	P11678
AF320999	Q9NQC3
X54741	P19099
S79910	P49639
M81379	Q01955
AK025116	Q9H728
U58033	Q13614
AL050328	I7HIL1
AL050328	J3JRT3
AL050328	Q16653
AL050328	Q9NU63
U41813	P31269
X58987	P21728
U18549	P46095
AC007956	F8VU51
AC007956	G3V1S4
AC007956	G3V245
AC007956	G3V2B5
AC007956	G3V2M5
AC007956	G3V3N8
AC007956	G3V506
AC007956	G3V5D2
AC007956	G3V5L8
AC007956	G3V5P7
AC007956	G3V5S9
AC007956	H0YI23
AC007956	H0YIQ2
AC007956	H0YJ67
AC007956	H0YJ69
AC007956	H0YJF1
AC007956	H0YJK5
AC007956	O15033
AC007956	P49750
AC007956	Q9Y324
AC007956	U3KQT9
X68742	P56199
D26488	Q15061
AB007941	Q6XUX3
L19704	Q12979
AB023215	Q6EMB2
BC005407	Q9BS12
AF113616	Q02505
AL110227	Q659F3
X63381	Q02078
AK024279	Q9Y4P8
AJ276395	P02751
AK024679	Q9H7D3
AJ001306	Q8NI35
AB002326	Q8TCU4
Z22551	Q86UP2
AK022360	Q53GI3
AL137534	Q9NT46
AK026142	Q8WUU5
AB046861	A6QL64
X95152	P51587
AB037854	Q9P2B4
AL031427	A0A087WVX4
AL031427	A0A087WYB0
AL031427	A0A087X0G2
AL031427	A6NG08
AL031427	A6NIR2
AL031427	A6NL66
AL031427	C6ZRC2
AL031427	C9JFB2
AL031427	D3DQ42
AL031427	E7EP35
AL031427	E9PI35
AL031427	E9PM07
AL031427	P49895
AL031427	Q9Y547
AL031427	X6R7Y7
AB014524	Q8NEV8
AB029041	Q9UPN4
AK000818	Q7L4S7
AB007861	O43151
AB017004	A4D2B8
AL080157	Q8WV16
AL583911	Q15007
AL049942	Q9Y3M9
AK023937	Q8WXI4
AL080144	Q8WYP5
AB011541	Q7Z7M0
AK002201	Q13459
AL162013	Q9NSM6
AB023203	Q96RL7
AK001406	B3KM94
AK023116	Q9H930
X93921	Q16829
AL137703	Q5JV90
BC000281	Q9BWF9
AK022397	Q9UPT5
U90030	Q96G01
AB002316	O15034
D80006	Q14689
BC003535	Q9BTP7
AF131833	Q9C0B6
Z73903	P48995
AL031680	A0A0C4DGS6
AL031680	A0A0C4DH49
AL031680	H7C4Y8
AL031680	Q8TDM0
AL031680	Q9BYG5
AL157851	Q9NSQ0
AK023446	B3KN33
X87870	P41235
AF131748	Q96I99
M12523	P02768
AL035297	O95562
AK022864	Q8TEY7
AL050069	Q9P104
AF257659	O43852
AB037751	Q96L96
AC004490	A0A087X1A7
AC004490	C9JH95
AC004490	H7C2S2
AC004490	H7C3N3
AC004490	Q8TEK3
AC004490	V9GY76
AL050050	Q9Y408
AL022165	A0A087WXD1
AL022165	E5RHV3
AL022165	Q2M3X9
AL022165	Q96T83
AL022165	Q9NS84
X74039	Q03405
AK021533	B3KMM3
AC002045	O15103
AC002045	Q9UND3
BC005066	Q9BSG2
AL080129	Q5UIP0
AL137651	A4QPB2
D90453	Q05682
X56687	P17480
AL033403	H0Y662
AL033403	P00740
AL033403	P10911
AL033403	Q5JYJ5
AL050395	Q9H7Z6
AL049786	Q9Y273
AL080065	A5PLN7
BC004262	Q8WUQ7
AK023285	Q9H8U2
AB038783	Q9H195
AC007842	A0A075B7A7
AC007842	A0A087WUZ2
AC007842	A0A087WXI2
AC007842	C9JTJ1
AC007842	M0QXH5
AC007842	M0QXR6
AC007842	M0QY24
AC007842	M0QZB2
AC007842	M0R0W9
AC007842	M0R168
AC007842	M0R292
AC007842	P43686
AC007842	Q9Y6R6
AC007842	Q9Y6R7
AC004522	B3KRF7
AC004522	C9JEV0
AC004522	C9JRM9
AC004522	E9PC66
AC004522	H7BZJ8
AC004522	P25311
AC004893	C9K0N1
AC004893	F2Z2U4
AC004893	H0Y4W2
AC004893	Q9HCE7
AC004893	Q9Y4A5
AF161454	O95445
AB002364	O15072
U79304	Q8NE31
U02632	Q12791
AK001155	Q9NW63
AL359052	O95965
AL137384	Q2LD37
AC005070	A0A087WYW5
AC005070	C9J2M4
AC005070	C9JNE1
AC005070	C9JQ68
AC005070	C9JWF7
AC005070	C9JYI9
AC005070	E7ETZ7
AC005070	F8WAU9
AC005070	F8WAV6
AC005070	F8WBW4
AC005070	H7C4F3
AC005070	H7C521
AC005070	H7C5C4
AC005070	H7C5L6
AC005070	P78362
AC005070	Q8IZD2
AC005070	S4R363
AL133620	Q9ULH0
AB011399	P55196
AB018275	Q86US8
D38491	P42696
AK001854	Q6ZVD8
L39064	Q01113
X06989	P05067
AK021738	Q7Z403
AF229253	Q9BZZ5
AK026236	Q12769
S40369	Q16478
AF251442	P80192
X17247	P15907
AK001816	B3KMG9
AK023365	B3KN22
AC003007	V9H0F5
U37221	Q13356
X63071	P18583
BC000969	Q9HAU0
AC004472	O15287
AC004472	P55072
AC004472	Q7L5A3
AC004472	Q8TEQ8
AC004472	Q9UJZ1
AD000092	K7EKH1
AD000092	K7EKT3
AD000092	K7EM50
AD000092	K7EQ99
AD000092	K7ER63
AD000092	K7ERX1
AD000092	K7ES74
AD000092	K7ESA6
AD000092	O00115
AD000092	P27797
AD000092	P54725
AD000092	Q13351
AD000092	Q6PIF2
AD000092	Q92947
AD000092	Q9Y285
AD000092	Q9Y2H9
AL161952	Q9NSP3
AC004475	B4DVK3
AC004475	K7ELR6
AC004475	K7EM86
AC004475	K7ES12
AC004475	K7ESM0
AC004475	Q8IWZ8
AC004475	V9GZ08
AJ006701	Q8IWQ3
BC004912	Q9BSP9
AB051518	Q9C0D2
AF123462	Q9HDB5
AF123462	Q9Y4C0
AC000064	O43933
AC000064	Q8WUU5
S76476	Q16288
U81961	P37088
U79275	Q99777
U72398	Q07817
AF049103	Q9BYW2
AK002179	Q7LGA3
BC004145	Q9BTF3
AL133053	A0AUZ9
Z22969	Q86VB7
AK023808	B3KN63
AK023081	B3KMZ2
AL031427	A0A087WVX4
AL031427	A0A087WYB0
AL031427	A0A087X0G2
AL031427	A6NG08
AL031427	A6NIR2
AL031427	A6NL66
AL031427	C6ZRC2
AL031427	C9JFB2
AL031427	D3DQ42
AL031427	E7EP35
AL031427	E9PI35
AL031427	E9PM07
AL031427	P49895
AL031427	Q9Y547
AL031427	X6R7Y7
U82671	C9J4L3
U82671	C9JDR0
U82671	H0Y704
U82671	H7BZT5
U82671	H7C1R1
U82671	O15231
U82671	P41208
U82671	P43356
U82671	P43357
U82671	P43365
U82671	Q15738
AC004472	O15287
AC004472	P55072
AC004472	Q7L5A3
AC004472	Q8TEQ8
AC004472	Q9UJZ1
AD000092	K7EKH1
AD000092	K7EKT3
AD000092	K7EM50
AD000092	K7EQ99
AD000092	K7ER63
AD000092	K7ERX1
AD000092	K7ES74
AD000092	K7ESA6
AD000092	O00115
AD000092	P27797
AD000092	P54725
AD000092	Q13351
AD000092	Q6PIF2
AD000092	Q92947
AD000092	Q9Y285
AD000092	Q9Y2H9
AC004522	B3KRF7
AC004522	C9JEV0
AC004522	C9JRM9
AC004522	E9PC66
AC004522	H7BZJ8
AC004522	P25311
AC004522	B3KRF7
AC004522	C9JEV0
AC004522	C9JRM9
AC004522	E9PC66
AC004522	H7BZJ8
AC004522	P25311
AD000092	K7EKH1
AD000092	K7EKT3
AD000092	K7EM50
AD000092	K7EQ99
AD000092	K7ER63
AD000092	K7ERX1
AD000092	K7ES74
AD000092	K7ESA6
AD000092	O00115
AD000092	P27797
AD000092	P54725
AD000092	Q13351
AD000092	Q6PIF2
AD000092	Q92947
AD000092	Q9Y285
AD000092	Q9Y2H9
U81961	P37088
AL021937	A0A0A0MRY3
AL021937	A0A0A0MSA5
AL021937	A2A280
AL021937	A2A282
AL021937	F8WBR0
AL021937	F8WDR9
AL021937	J3QQV8
AL021937	O75679
AL021937	P0C7P2
AL021937	Q5TI88
AL021937	Q8NFQ6
AL021937	Q9Y3I0
AL021937	Q9Y3I1
AL049942	Q9Y3M9
AF091081	O95327
BC004228	Q96ME1
AK022408	Q9Y3P9
AL353759	P10412
AL353759	P58876
AL353759	P62805
AL353759	P62807
AK025270	Q9H700
L29511	P62993
AL050388	Q9UG59
U81031	P11802
U81031	Q12999
U81031	Q13438
U81031	Q99490
AL137706	Q9Y238
AB037838	Q9P2D0
AL022724	A0A0U1RVL0
AL022724	D6R9A9
AL022724	D6RDG9
AL022724	H0Y9P4
AL022724	H0YAA5
AL022724	Q96IZ2
AL136557	Q9BQI9
U80736	O15405
AB020668	Q86YR7
AK022330	O95947
AJ000008	O75747
AC002550	C9J7I2
AC002550	E7EWW0
AC002550	F5H7K1
AC002550	F6S1J4
AC002550	H0YFG6
AC002550	H3BMC9
AC002550	H3BNU8
AC002550	H3BNX2
AC002550	H3BPL4
AC002550	H3BPX0
AC002550	H3BRV8
AC002550	H3BRX5
AC002550	H3BTI5
AC002550	H3BU74
AC002550	H3BUS7
AC002550	H3BV68
AC002550	H3BV97
AC002550	H3BVG8
AC002550	I3L193
AC002550	I3L1U5
AC002550	Q1ED39
AC002550	Q7Z3J2
AC002550	Q8N0W5
AL050353	Q5JXM0
AB015329	Q674X7
AL137508	Q69YW1
AC005378	Q9UDS9
AB028966	Q96AY4
AF090896	Q9UI84
AB014594	Q96BY6
AF037070	O75052
AK022531	B3KMS4
